;DM1;DM2;DM4;EC2;ED1;HS1;HS2;EN1
263;2.93;1.11;0.88;0.0;2.27;0.74;0.0;0.250199416390172
264;2.88;0.75;0.78;0.25;0.0;0.0;1.25;0.220404712043025
265;3.16;0.39;0.98;0.39;0.0;0.0;4.65;0.219760683742729
266;3.46;0.56;1.77;0.0;1.65;0.0;0.0;0.25650354222705
267;3.62;0.53;1.65;0.0;1.15;0.27;0.27;0.266972060320345
268;3.31;0.0;1.45;0.0;2.13;0.88;0.0;0.218171884360713
269;3.7;0.0;1.7;0.0;0.0;0.0;0.0;0.303003991480734
270;3.58;0.87;1.46;0.0;1.08;0.0;0.0;0.32397556378909
271;3.18;0.0;1.08;0.0;2.7;0.0;4.48;0.340408881665558
272;3.27;7.25;1.11;0.0;0.0;0.0;1.04;0.317794438006368
273;3.24;1.47;1.34;0.0;1.56;0.0;0.15;0.307060577725578
274;3.38;0.4;1.06;0.0;0.0;0.0;0.8;0.372822401716429
275;3.31;0.57;1.34;0.0;0.0;0.0;0.0;0.292318442496806
276;3.35;0.0;1.04;0.53;0.0;0.53;0.53;0.343301737231427
277;3.07;0.77;0.62;0.38;0.0;0.0;0.38;0.284192427722872
278;3.36;0.36;1.52;0.0;1.52;0.0;0.0;0.384042238714683
279;3.11;0.32;1.23;0.0;3.41;0.32;0.32;0.304762673022142
280;3.21;0.0;1.32;0.0;1.52;0.42;0.85;0.292325039031142
281;3.1;0.37;0.95;0.0;0.0;0.0;0.37;0.329262111769166
282;3.25;3.16;1.11;0.0;1.15;0.0;0.68;0.259248726611788
283;3.15;0.84;1.12;0.0;0.0;0.0;0.0;0.301800625353325
284;3.0;0.96;0.64;0.0;2.5;0.0;0.48;0.299278337628611
285;3.06;1.67;1.55;0.0;2.44;0.0;0.56;0.322019828613414
286;3.17;0.0;0.65;0.0;0.0;0.0;0.83;0.257122883642161
287;3.32;0.68;1.22;0.0;0.0;0.0;0.0;0.301984147975842
288;3.33;0.0;1.54;0.33;0.0;0.0;3.31;0.250106569123632
289;3.31;0.0;0.96;0.0;0.0;0.53;2.12;0.208993142061844
290;3.44;0.73;1.22;0.0;0.0;0.0;1.45;0.185137111848037
291;3.21;0.0;1.49;0.0;0.0;0.0;5.12;0.17289945535136
292;3.23;1.29;1.6;0.96;0.0;0.32;0.32;0.199299961451318
293;3.09;1.14;1.39;0.0;1.96;0.0;1.15;0.242322747252489
294;3.2;0.0;0.63;0.0;0.0;0.0;2.02;0.274834560660215
295;2.69;0.74;1.44;0.37;0.0;0.0;0.74;0.30344201501678
296;3.35;1.02;1.98;0.0;4.55;0.0;0.0;0.420906214797792
297;2.99;4.39;1.17;0.0;10.53;0.0;2.63;0.346935198262886
298;2.86;1.37;1.52;0.0;0.0;0.0;0.91;0.272177002096877
299;3.32;1.03;0.85;0.51;0.0;0.0;1.03;0.321651828049878
300;3.2;0.57;1.35;1.15;0.0;0.0;2.3;0.278999884317561
301;2.92;0.0;1.8;0.0;3.45;0.0;0.75;0.308505237578078
302;3.22;0.0;1.23;0.0;0.0;0.0;0.47;0.271770283764551
303;3.3;0.63;1.25;0.0;0.0;0.0;0.63;0.297742758763999
304;2.99;0.84;1.26;0.0;1.96;0.0;0.42;0.35023975836626
305;3.18;1.61;1.01;0.0;0.0;0.0;0.4;0.333944421293389
306;3.35;0.0;1.49;0.0;0.93;0.0;0.91;0.340630798509693
307;3.25;1.28;1.37;0.0;0.0;0.0;0.0;0.376214538861153
308;3.22;0.0;1.62;0.0;0.0;0.0;0.0;0.356405643105586
309;3.18;1.65;1.23;0.0;0.0;0.0;0.0;0.29040435758176
310;3.28;1.13;0.6;0.0;0.0;0.0;0.0;0.246664278119443
311;3.4;0.0;1.11;0.0;0.0;0.0;0.68;0.312450413476853
