Census tract;DM1;DM2;DM3;DM4;EC1;EC2;EC3;ED1;ED2;HS1;HS2;HS3;HS4;HS5;EN1
411520005240004;2.93;0.48;44;1.23;1.91;0.48;61.24;0;10.53;0;1.91;96.65;100;45.45;0.325391939282417
411520005240005;2.97;0;41.5;0.79;2.92;0;50.29;4;7.02;0;1.75;92.98;100;45.03;0.28355313711349
411520005240006;3.06;0.43;39.45;0.92;15.15;0;66.23;0;8.23;0;0.87;98.7;100;39.83;0.265139466724717
411520005240007;2.88;0;35.01;0.84;9.14;0;61.29;0;1.61;0;0;91.4;100;55.91;0.307578492303227
411520005240008;2.95;0.45;41.79;0.69;5;0;64.55;0;10.45;0.45;0.91;96.82;100;47.27;0.312658385785877
411520005240009;3.07;0.3;42.86;0.88;8.36;0.3;63.28;1.22;7.46;0;0.3;97.9;100;49.7;0.30878626180522
411520005240010;2.98;0.53;36.55;0.85;5.87;0;42.67;1.64;4.8;0.53;2.67;97.07;100;48;0.297623032291011
411520005240011;3;0;39.36;0.61;4.86;0.81;46.96;0;2.83;1.21;4.05;97.57;100;48.99;0.277678230385247
411520005240012;2.91;0.28;37.45;1.15;3.33;0.28;50;0;3.89;0.28;2.78;98.61;100;50.56;0.256348104930894
411520005240013;2.99;1.31;40.45;0.66;5.68;0.44;44.54;9.8;4.37;0;1.32;97.81;100;47.81;0.251987435756937
411520005240014;2.83;0.79;42.46;1.32;8.66;0;61.02;0;3.54;0;0;89.76;100;59.84;0.285773597679339
411520005240015;3.1;0.97;41.19;1.09;3.86;0;49.76;0;4.35;0;1.45;97.58;99.03;47.83;0.261313445720967
411520005240016;3.2;0;43.9;1.12;19.05;0;59.05;4.48;6.19;0;1.43;92.38;100;35.24;0.315712533391162
411520005240017;2.95;1.49;43.32;1.6;18.07;0;62.62;1.12;10.4;0.25;0.99;94.55;99.75;43.32;0.329409484953984
411520005240018;3.2;0;40.68;0.95;5.63;0;58.87;0;5.63;0;0.43;96.54;100;41.56;0.299868985737136
411520005240019;3.18;0.57;42.49;1.62;6.02;0;61.89;0;5.16;3.45;0.29;94.54;99.71;45.98;0.39247013163795
411520005240020;2.99;0.58;46.46;1.64;21.39;0;62.43;0;7.51;0;0.58;89.6;100;53.18;0.458612584656683
411520005240021;2.92;1.93;33.81;1.19;10.42;0;55.98;0;6.56;0;0;94.21;99.61;56.76;0.334844415582071
411520005240022;3.08;0.85;43.04;0.92;10.17;0.56;57.91;2.35;7.06;0;0.85;93.79;99.72;53.39;0.351825584995223
411520005240023;2.99;3.79;38.22;1.04;19.24;0;48.58;0;1.58;0;1.89;99.05;100;53.94;0.272354889640492
411520005240024;3.04;0;39.93;0.62;14.59;0.27;34.86;0;4.05;0.54;3.78;99.46;100;46.49;0.258862614557885
411520005240025;2.97;1.47;42.11;0.99;16.18;0.29;44.71;0;5;0;4.41;100;100;47.35;0.24963360105242
